hoursWorked,mood,focus,meetingHours,tasksCompleted,burnoutRisk
6,7,4,2,12,HIGH
6,2,1,0,8,HIGH
6,2,5,7,13,HIGH
9,2,3,3,2,HIGH
5,1,2,4,6,HIGH
9,2,8,6,10,HIGH
5,2,10,1,9,MEDIUM
8,7,7,5,8,HIGH
10,2,7,6,6,HIGH
8,9,8,8,4,HIGH
6,7,9,5,0,MEDIUM
6,3,8,6,13,HIGH
4,3,9,8,5,HIGH
6,10,3,1,12,MEDIUM
8,7,5,8,6,HIGH
6,3,2,3,10,HIGH
11,6,10,3,1,HIGH
10,10,1,5,2,HIGH
8,4,8,1,11,HIGH
4,9,4,2,11,MEDIUM
7,2,6,2,3,HIGH
9,6,7,2,14,HIGH
12,3,5,2,11,HIGH
12,1,1,7,7,HIGH
4,2,3,4,3,HIGH
4,8,8,0,4,LOW
7,7,9,1,12,MEDIUM
7,6,8,5,1,HIGH
12,8,3,3,9,HIGH
6,6,5,8,3,HIGH
10,4,5,4,2,HIGH
7,7,1,8,0,HIGH
9,4,3,8,8,HIGH
7,6,10,5,6,MEDIUM
9,8,1,5,3,HIGH
11,3,4,7,12,HIGH
9,6,8,4,13,HIGH
10,8,5,1,5,HIGH
10,2,4,6,10,HIGH
8,1,5,6,1,HIGH
11,2,1,1,9,HIGH
6,4,8,0,5,MEDIUM
10,3,8,4,0,HIGH
5,7,10,5,2,MEDIUM
4,8,8,4,3,MEDIUM
5,1,1,4,5,HIGH
4,10,2,0,8,MEDIUM
11,7,3,0,14,HIGH
7,6,8,7,14,HIGH
8,7,10,1,15,MEDIUM
5,3,4,6,7,HIGH
4,9,7,3,13,MEDIUM
8,9,2,8,11,HIGH
10,10,5,4,4,HIGH
10,3,9,3,2,HIGH
4,7,3,5,4,HIGH
4,10,10,1,15,LOW
4,8,9,1,3,LOW
9,1,7,8,2,HIGH
8,2,5,6,6,HIGH
5,5,4,8,0,HIGH
6,9,5,4,2,MEDIUM
6,4,4,2,6,HIGH
6,9,2,6,5,HIGH
6,7,3,0,9,HIGH
12,6,3,6,7,HIGH
10,3,8,7,12,HIGH
10,7,5,5,4,HIGH
9,4,5,7,11,HIGH
9,10,10,7,3,MEDIUM
11,9,7,1,6,MEDIUM
8,9,9,6,6,MEDIUM
11,10,4,4,1,HIGH
10,3,8,4,13,HIGH
7,10,4,6,8,HIGH
5,7,6,8,9,HIGH
12,4,5,3,3,HIGH
4,4,1,6,3,HIGH
10,6,4,5,5,HIGH
8,6,6,7,2,HIGH
8,1,6,4,6,HIGH
11,9,6,2,2,HIGH
7,2,4,4,12,HIGH
8,6,6,5,4,HIGH
11,9,7,5,13,HIGH
5,6,9,6,8,MEDIUM
8,3,7,0,14,HIGH
11,8,2,4,15,HIGH
4,4,2,6,11,HIGH
12,3,6,2,5,HIGH
10,10,8,5,2,MEDIUM
5,10,5,3,12,MEDIUM
6,9,10,5,1,MEDIUM
4,4,5,8,0,HIGH
11,9,6,8,11,HIGH
9,3,3,7,0,HIGH
11,2,7,7,0,HIGH
6,5,7,8,7,HIGH
11,10,5,7,12,HIGH
9,6,4,0,2,HIGH
4,9,3,2,8,MEDIUM
11,4,3,6,6,HIGH
11,9,1,7,3,HIGH
7,6,3,2,7,HIGH
7,1,10,0,15,HIGH
8,3,6,0,15,HIGH
7,9,3,4,12,HIGH
6,9,1,3,0,HIGH
8,3,9,2,4,HIGH
4,6,2,1,15,HIGH
9,8,10,0,6,MEDIUM
11,8,9,8,5,HIGH
10,1,7,0,1,HIGH
6,3,6,5,3,HIGH
12,3,8,8,9,HIGH
8,3,5,0,6,HIGH
12,5,6,0,14,HIGH
4,9,4,0,8,MEDIUM
12,6,5,3,10,HIGH
4,6,1,8,11,HIGH
8,9,1,5,13,HIGH
7,7,4,3,2,HIGH
9,7,4,1,1,HIGH
5,8,4,0,9,MEDIUM
10,8,6,2,0,HIGH
4,4,9,0,4,MEDIUM
9,6,6,6,6,HIGH
11,3,4,2,15,HIGH
7,10,10,5,5,MEDIUM
7,6,6,2,4,HIGH
9,5,6,8,12,HIGH
7,3,2,2,10,HIGH
5,7,9,7,2,MEDIUM
10,4,10,1,13,HIGH
11,8,3,6,5,HIGH
8,5,7,4,13,HIGH
10,3,1,0,5,HIGH
9,6,3,3,5,HIGH
10,6,10,6,4,HIGH
9,4,9,4,8,HIGH
10,6,2,2,7,HIGH
12,7,7,5,8,HIGH
6,9,6,1,7,MEDIUM
6,3,7,3,7,HIGH
9,7,10,8,9,HIGH
4,1,7,7,15,HIGH
